,"Country,Other",TotalCases,NewCases,TotalDeaths
141,Fiji,"69,117",885,"67,226"
142,Madagascar,"68,471","1,426","66,862"
143,Cabo,Verde,"64,477",417
144,Sudan,"63,993","5,046","58,947"
145,Mauritania,"63,777",997,"62,471"
146,Bhutan,"62,697",21,"61,564"
147,Syria,"57,743","3,165","54,578"
148,Burundi,"54,721",38,"53,569"
149,Seychelles,"51,220",172,"51,048"
150,Gabon,"49,051",307,"48,674"
151,Andorra,"48,015",165,N/A
152,Papua,New,Guinea,"46,864"
153,Curaçao,"45,986",295,"44,720"
154,Aruba,"44,224",292,"42,438"
155,Tanzania,"43,223",846,N/A
156,Mauritius,"43,025","1,051","41,278"
157,Mayotte,"42,027",188,N/A
158,Togo,"39,553",290,"39,262"
159,Guinea,"38,572",468,"37,757"
160,Bahamas,"38,084",844,"36,366"
161,Isle,of,Man,"38,008"
162,Lesotho,"36,135",723,"25,980"
163,Faeroe,Islands,"34,658",28
164,Haiti,"34,509",860,"33,372"
165,Mali,"33,164",743,"32,332"
166,Cayman,Islands,"31,472",37
167,Saint,Lucia,"30,209",410
168,Benin,"28,036",163,"27,847"
169,Somalia,"27,334","1,361","13,182"
170,Micronesia,"26,547",65,N/A
171,San,Marino,"26,185",128
172,Solomon,Islands,"25,954",199
173,Congo,"25,375",386,"24,006"
174,Timor-Leste,"23,460",138,"23,102"
175,Burkina,Faso,"22,109",400
176,Liechtenstein,"21,561",94,N/A
177,Macao,"20,612",123,"3,487"
178,Gibraltar,"20,550",113,N/A
179,Grenada,"19,693",238,"19,358"
180,Bermuda,"18,860",165,"18,685"
181,South,Sudan,"18,765",147
182,Nicaragua,"18,491",225,"4,225"
183,Tajikistan,"17,786",125,"17,264"
184,Equatorial,Guinea,"17,229",183
185,Monaco,"17,181",67,N/A
186,Samoa,"17,006",31,"1,605"
187,Tonga,"16,888",13,"15,638"
188,Marshall,Islands,"16,138",17
189,Dominica,"16,038",74,"15,964"
190,Djibouti,"15,690",189,"15,427"
191,CAR,"15,440",113,"15,200"
192,Gambia,"12,626",372,"12,189"
193,Saint,Martin,"12,324",63
194,Vanuatu,"12,019",14,"11,976"
195,Greenland,"11,971",21,"2,761"
196,Yemen,"11,945","2,159","9,124"
197,Caribbean,Netherlands,"11,682",38
198,Sint,Maarten,"11,051",92
199,Eritrea,"10,189",103,"10,086"
200,Niger,"9,931",312,"8,890"
201,St.,Vincent,Grenadines,"9,674"
202,Guinea-Bissau,"9,614",177,"8,929"
203,Comoros,"9,109",161,"8,939"
204,Antigua,and,Barbuda,"9,106"
205,Liberia,"8,090",295,"7,783"
206,Sierra,Leone,"7,779",126
207,Chad,"7,701",194,"4,874"
208,British,Virgin,Islands,"7,392"
209,Cook,Islands,"7,203",2
210,Sao,Tome,and,Principe
211,Turks,and,Caicos,"6,711"
212,Saint,Kitts,and,Nevis
213,Palau,"6,265",9,"6,252"
214,St.,Barth,"5,507",6
215,Nauru,"5,393",1,"5,347"
216,Kiribati,"5,085",24,"2,703"
217,Anguilla,"3,904",12,N/A
218,Wallis,and,Futuna,"3,550"
219,Saint,Pierre,Miquelon,"3,452"
220,Tuvalu,"2,943",1,N/A
221,Saint,Helena,"2,166",2
222,Falkland,Islands,"1,930","1,930"
223,Montserrat,"1,403",8,"1,376"
224,Niue,"1,031","1,019",12
225,Diamond,Princess,712,13
226,Tokelau,80,80,"58,055"
227,Vatican,City,29,29
228,Western,Sahara,10,1
229,MS,Zaandam,9,2
230,China,"503,302","5,272","379,053"
231,"130,450,025","1,666,328","125,878,206","2,905,491"
232,"221,305,918",+617,"1,552,540",+3
233,"252,732,883","+4,686","2,093,099",+99
234,"69,513,937","1,364,361",+8,"66,581,324"
235,"14,742,159","+1,733","32,120","14,533,903"
236,"12,857,991","258,877","12,089,887","509,227"
237,721,15,706,0
238,"701,603,634","+7,036","6,967,340",+110
